股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3032,偉訓,20250602,1177258,80190324,69.30,69.50,67.40,67.40,-2.20,985
3032,偉訓,20250603,780497,53211270,68.30,68.90,67.80,68.00,+0.60,588
3032,偉訓,20250604,1306426,91296870,68.80,70.80,68.80,70.10,+2.10,991
3032,偉訓,20250605,877311,61431926,70.20,71.00,69.40,69.40,-0.70,739
3032,偉訓,20250606,875742,59980622,69.00,69.30,68.00,68.40,-1.00,735
3032,偉訓,20250609,855826,58208677,68.90,69.00,67.50,68.00,-0.40,670
3032,偉訓,20250610,5493746,396499272,68.40,73.60,68.40,72.20,+4.20,"3,850"
3032,偉訓,20250611,11710070,862902434,72.30,76.20,70.80,75.40,+3.20,"8,184"
3032,偉訓,20250612,4642428,347153982,74.90,75.80,74.00,74.00,-1.40,"3,221"
3032,偉訓,20250613,2794467,201683611,73.30,73.50,71.20,71.40,-2.60,"2,279"
3032,偉訓,20250616,2411163,174725835,71.40,73.40,70.90,72.80,+1.40,"1,746"
3032,偉訓,20250617,1880451,135844780,73.30,73.40,71.60,71.60,-1.20,"1,389"
3032,偉訓,20250618,3762695,278314751,71.80,75.00,71.70,74.20,+2.60,"2,784"
3032,偉訓,20250619,4125340,302331099,74.80,74.90,71.90,71.90,-2.30,"3,239"
3032,偉訓,20250620,3278497,236986510,72.20,73.60,70.90,71.90, 0.00,"2,403"
