股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3036,文曄,20250602,3950741,484955865,122.50,124.00,121.00,124.00, 0.00,"2,736"
3036,文曄,20250603,5656165,697704599,123.00,124.00,121.50,124.00, 0.00,"4,246"
3036,文曄,20250604,6043269,757153990,124.50,127.00,122.50,126.00,+2.00,"5,061"
3036,文曄,20250605,2519187,314752585,126.00,126.00,123.50,125.00,-1.00,"2,245"
3036,文曄,20250606,2557960,322401107,124.50,127.00,124.50,127.00,+2.00,"1,922"
3036,文曄,20250609,2540149,323033810,127.00,128.00,126.00,127.50,+0.50,"2,074"
3036,文曄,20250610,9052597,1103690867,122.50,124.50,118.00,123.50,-4.00,"8,174"
3036,文曄,20250611,6964786,885123990,125.50,128.50,125.00,127.00,+3.50,"4,504"
3036,文曄,20250612,2679618,339158714,126.00,127.50,126.00,127.00, 0.00,"1,888"
3036,文曄,20250613,3256839,409166995,126.00,126.50,124.50,126.00,-1.00,"2,264"
3036,文曄,20250616,2810282,355189194,125.00,127.50,124.50,126.00, 0.00,"2,128"
3036,文曄,20250617,10243369,1342224909,127.00,133.00,127.00,132.50,+6.50,"7,902"
3036,文曄,20250618,7511524,985213128,134.50,135.50,128.50,129.50,-3.00,"10,842"
3036,文曄,20250619,4602024,600244314,129.00,131.50,129.00,130.00,+0.50,"3,973"
3036,文曄,20250620,6143311,797792492,130.50,130.50,128.50,130.00, 0.00,"2,810"
