股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3041,揚智,20250602,701159,17465212,25.80,25.90,24.55,24.90,-0.85,760
3041,揚智,20250603,381930,9546509,25.35,25.45,24.65,24.65,-0.25,393
3041,揚智,20250604,660809,16726199,24.80,25.55,24.80,25.35,+0.70,507
3041,揚智,20250605,518689,13348116,25.30,26.10,25.25,25.80,+0.45,485
3041,揚智,20250606,556859,14445812,25.90,26.45,25.50,26.00,+0.20,562
3041,揚智,20250609,412604,10742709,26.75,26.75,25.65,26.00, 0.00,620
3041,揚智,20250610,555277,14557789,26.20,26.60,25.85,25.85,-0.15,519
3041,揚智,20250611,762207,19657024,25.60,26.15,25.25,26.00,+0.15,660
3041,揚智,20250612,268372,6936717,26.00,26.15,25.70,25.70,-0.30,312
3041,揚智,20250613,572513,14374305,25.55,25.60,24.80,24.90,-0.80,695
3041,揚智,20250616,325558,8086048,25.25,25.25,24.55,24.90, 0.00,443
3041,揚智,20250617,999848,25688577,24.95,26.45,24.95,25.30,+0.40,970
3041,揚智,20250618,433510,10873221,25.20,25.75,24.80,24.90,-0.40,538
3041,揚智,20250619,571500,13933647,24.90,24.90,24.00,24.00,-0.90,619
3041,揚智,20250620,752344,18162454,24.00,24.55,23.55,24.55,+0.55,672
