股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3105,穩懋,20250602,2753000,229386000,85.50,85.50,81.90,83.20,-2.50,"2,726"
3105,穩懋,20250603,2562000,210214000,83.60,83.80,81.30,81.50,-1.70,"2,658"
3105,穩懋,20250604,2481000,209906000,82.40,85.90,82.40,85.90,4.40,"2,125"
3105,穩懋,20250605,1074000,91764000,86.30,86.40,84.90,85.00,-0.90,"1,352"
3105,穩懋,20250606,1138000,95935000,85.00,85.30,83.60,84.00,-1.00,"1,493"
3105,穩懋,20250609,1909000,163016000,85.80,86.80,83.90,84.60,0.60,"1,886"
3105,穩懋,20250610,1307000,112303000,85.10,86.40,85.10,85.60,1.00,"1,280"
3105,穩懋,20250611,2097000,182135000,86.60,87.90,85.70,87.00,1.40,"1,872"
3105,穩懋,20250612,2682000,236437000,87.00,89.20,86.60,88.00,1.00,"2,352"
3105,穩懋,20250613,2173000,185457000,86.80,86.90,84.00,84.00,-3.00,"2,708"
3105,穩懋,20250616,978000,82015000,83.70,84.50,83.10,83.70,-0.30,981
3105,穩懋,20250617,1398000,118317000,84.00,85.50,84.00,84.10,0.40,"1,408"
3105,穩懋,20250618,1665000,141498000,85.00,86.10,84.10,84.20,0.10,"1,573"
3105,穩懋,20250619,1576000,130715000,84.30,84.50,82.30,82.70,-1.50,"1,767"
3105,穩懋,20250620,3989000,324174000,82.60,83.10,79.90,81.50,-1.20,"2,464"
