股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3115,富榮綱,20250602,30000,400000,13.55,13.55,13.05,13.20,-0.50,134
3115,富榮綱,20250603,31000,415000,13.10,14.00,13.00,13.45,0.25,99
3115,富榮綱,20250604,1000,15000,13.80,13.80,13.80,13.80,0.35,53
3115,富榮綱,20250605,21000,288000,13.80,13.80,13.45,13.45,-0.35,62
3115,富榮綱,20250606,150000,2160000,13.65,14.75,13.65,13.90,0.45,142
3115,富榮綱,20250609,27000,368000,13.50,14.30,13.35,13.35,-0.55,87
3115,富榮綱,20250610,27000,360000,13.15,13.60,13.15,13.40,0.05,44
3115,富榮綱,20250611,27000,356000,13.40,13.45,13.25,13.45,0.05,49
3115,富榮綱,20250612,4000,55000,13.70,13.70,13.25,13.60,0.15,44
3115,富榮綱,20250613,34000,454000,13.55,13.90,13.20,13.20,-0.40,62
3115,富榮綱,20250616,10000,136000,13.50,13.90,13.20,13.30,0.10,47
3115,富榮綱,20250617,33000,438000,13.45,13.45,13.00,13.40,0.10,56
3115,富榮綱,20250618,9000,117000,13.45,13.65,13.45,13.65,0.25,89
3115,富榮綱,20250619,4000,54000,13.30,13.30,13.30,13.30,-0.35,27
3115,富榮綱,20250620,7000,94000,13.70,13.70,13.10,13.25,-0.05,78
