股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3131,弘塑,20250602,800000,927616000,"1,165.00","1,190.00","1,140.00","1,160.00",-30.00,"1,798"
3131,弘塑,20250603,1454000,1771000000,"1,180.00","1,245.00","1,175.00","1,235.00",75.00,"2,709"
3131,弘塑,20250604,1757000,2215472000,"1,260.00","1,280.00","1,245.00","1,250.00",15.00,"2,610"
3131,弘塑,20250605,3341000,4420745000,"1,270.00","1,370.00","1,270.00","1,300.00",50.00,"7,672"
3131,弘塑,20250606,1276000,1651291000,"1,305.00","1,315.00","1,275.00","1,300.00",0.00,"1,975"
3131,弘塑,20250609,2252000,3013803000,"1,320.00","1,370.00","1,305.00","1,370.00",70.00,"4,041"
3131,弘塑,20250610,1731000,2423940000,"1,370.00","1,440.00","1,355.00","1,425.00",55.00,"3,639"
3131,弘塑,20250611,1228000,1778874000,"1,440.00","1,465.00","1,430.00","1,455.00",30.00,"2,408"
3131,弘塑,20250612,2022000,3068440000,"1,455.00","1,550.00","1,445.00","1,550.00",95.00,"4,619"
3131,弘塑,20250613,1276000,1966297000,"1,540.00","1,565.00","1,520.00","1,540.00",-10.00,"2,584"
3131,弘塑,20250616,1195000,1879788000,"1,520.00","1,610.00","1,520.00","1,580.00",40.00,"2,650"
3131,弘塑,20250617,1709000,2650806000,"1,590.00","1,610.00","1,480.00","1,525.00",-55.00,"9,467"
3131,弘塑,20250618,1376000,2083988000,"1,500.00","1,540.00","1,460.00","1,525.00",0.00,"2,604"
3131,弘塑,20250619,713000,1080505000,"1,525.00","1,540.00","1,495.00","1,495.00",-30.00,"1,504"
3131,弘塑,20250620,1015000,1533640000,"1,525.00","1,540.00","1,490.00","1,500.00",5.00,"2,089"
