股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3147,大綜,20250602,1374000,276469000,202.50,204.50,199.00,199.50,-4.00,"1,491"
3147,大綜,20250603,942000,189040000,202.50,203.00,199.00,199.00,-0.50,"1,378"
3147,大綜,20250604,2781000,571659000,202.50,210.00,202.00,206.50,7.50,"2,900"
3147,大綜,20250605,3515000,715451000,208.00,212.00,195.00,195.00,-11.50,"4,087"
3147,大綜,20250606,1564000,300475000,194.50,196.50,189.00,192.50,-2.50,"1,948"
3147,大綜,20250609,871000,168866000,195.50,196.00,191.00,195.50,3.00,"1,066"
3147,大綜,20250610,705000,137707000,196.00,197.00,193.50,197.00,1.50,"1,075"
3147,大綜,20250611,5508000,1069255000,191.00,202.50,181.00,198.50,1.50,"5,386"
3147,大綜,20250612,1933000,375217000,196.00,198.50,191.00,192.00,-6.50,"3,004"
3147,大綜,20250613,4480000,874914000,190.00,201.50,190.00,190.50,-1.50,"4,264"
3147,大綜,20250616,1379000,259326000,188.50,192.00,185.00,190.50,0.00,"2,277"
3147,大綜,20250617,5933000,1217108000,194.00,209.50,192.50,209.50,19.00,"6,174"
3147,大綜,20250618,12212000,2641383000,212.50,220.50,212.50,216.00,6.50,"11,958"
3147,大綜,20250619,4056000,843873000,214.50,216.00,203.00,206.00,-10.00,"4,470"
3147,大綜,20250620,2624000,537033000,206.00,211.00,200.50,200.50,-5.50,"2,773"
