股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3150,鈺寶-創,20250602,12006,270086,22.75,22.75,22.30,22.30,-0.60,9
3150,鈺寶-創,20250603,43050,953524,22.35,22.50,22.00,22.05,-0.25,31
3150,鈺寶-創,20250604,34096,766033,22.25,22.70,22.05,22.05, 0.00,25
3150,鈺寶-創,20250605,106053,2452300,22.55,24.00,22.35,23.00,+0.95,51
3150,鈺寶-創,20250606,18206,416766,22.95,23.00,22.70,22.80,-0.20,13
3150,鈺寶-創,20250609,34005,755264,22.30,22.50,22.10,22.45,-0.35,22
3150,鈺寶-創,20250610,32314,726068,22.35,22.65,22.30,22.55,+0.10,24
3150,鈺寶-創,20250611,21096,472074,22.40,22.50,22.15,22.30,-0.25,15
3150,鈺寶-創,20250612,17482,398524,22.30,23.50,22.30,23.35,+1.05,25
3150,鈺寶-創,20250613,36005,832466,23.35,23.40,22.85,23.30,-0.05,17
3150,鈺寶-創,20250616,10155,231400,22.85,22.90,22.60,22.90,-0.40,14
3150,鈺寶-創,20250617,22909,515936,22.60,22.90,22.20,22.90, 0.00,28
3150,鈺寶-創,20250618,21222,487922,22.90,23.15,22.90,23.15,+0.25,19
3150,鈺寶-創,20250619,49583,1095078,22.40,22.40,22.00,22.00,X0.00,26
3150,鈺寶-創,20250620,11007,240901,22.00,22.15,21.75,21.75,-0.25,12
