股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3152,璟德,20250602,221000,24624000,114.50,114.50,110.00,110.00,-6.00,269
3152,璟德,20250603,127000,14030000,110.00,112.50,110.00,110.50,0.50,125
3152,璟德,20250604,103000,11604000,112.00,113.50,111.00,113.50,3.00,128
3152,璟德,20250605,60000,6784000,114.00,115.50,112.50,112.50,-1.00,105
3152,璟德,20250606,312000,34514000,111.50,112.00,109.50,110.00,-2.50,344
3152,璟德,20250609,72000,7966000,111.50,111.50,109.50,110.50,0.50,93
3152,璟德,20250610,158000,17558000,112.00,112.00,111.00,112.00,1.50,174
3152,璟德,20250611,237000,26694000,112.00,114.50,112.00,112.00,0.00,201
3152,璟德,20250612,93000,10487000,111.50,114.00,111.50,113.00,1.00,113
3152,璟德,20250613,207000,23002000,113.50,113.50,110.00,110.00,-3.00,253
3152,璟德,20250616,50000,5509000,110.00,110.00,109.00,109.50,-0.50,83
3152,璟德,20250617,82000,9146000,110.50,112.50,110.50,110.50,1.00,87
3152,璟德,20250618,73000,8133000,111.00,112.00,110.50,111.00,0.50,97
3152,璟德,20250619,476000,54971000,112.50,118.50,110.00,117.50,6.50,574
3152,璟德,20250620,481000,55697000,117.50,119.50,114.00,115.00,-2.50,503
