股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3167,大量,20250602,2574785,218915329,86.40,87.20,83.00,85.60,-1.60,"2,050"
3167,大量,20250603,4052104,357293355,86.50,89.80,86.30,89.20,+3.60,"3,789"
3167,大量,20250604,12875559,1217862095,90.40,98.10,89.20,98.10,+8.90,"12,671"
3167,大量,20250605,28226586,2831642443,99.30,104.50,96.80,100.00,+1.90,"22,298"
3167,大量,20250606,9970854,1083851440,106.00,110.00,105.00,110.00,+10.00,"5,169"
3167,大量,20250609,50913955,5826800815,112.50,121.00,109.00,121.00,+11.00,"28,755"
3167,大量,20250610,33426147,3932915781,121.50,121.50,115.00,115.50,-5.50,"19,401"
3167,大量,20250611,39866336,4714408581,118.00,122.00,112.50,121.00,+5.50,"24,500"
3167,大量,20250612,16504342,1967248478,121.00,121.50,117.00,119.00,-2.00,"10,014"
3167,大量,20250613,42774271,5467493230,122.00,130.50,120.00,130.00,+11.00,"24,920"
3167,大量,20250616,39138658,5092095100,129.00,133.00,126.00,131.00,+1.00,"23,304"
3167,大量,20250617,13930381,1805587214,132.00,132.50,127.00,129.00,-2.00,"11,697"
3167,大量,20250618,31389307,4054704513,127.50,136.00,119.00,124.00,-5.00,"21,590"
3167,大量,20250619,25059293,3100290878,123.50,128.00,118.50,125.00,+1.00,"14,922"
3167,大量,20250620,13243771,1610020140,124.00,125.00,118.50,121.50,-3.50,"8,912"
