股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3168,眾福科,20250602,14055,685623,48.60,49.50,48.00,49.15,-0.50,15
3168,眾福科,20250603,46009,2233148,49.00,49.10,48.00,48.60,-0.55,80
3168,眾福科,20250604,33883,1664432,49.10,49.45,48.55,49.35,+0.75,43
3168,眾福科,20250605,14150,693150,49.00,49.10,48.60,49.00,-0.35,14
3168,眾福科,20250606,23121,1141163,49.10,49.70,49.10,49.40,+0.40,33
3168,眾福科,20250609,26421,1300336,49.00,49.60,49.00,49.60,+0.20,25
3168,眾福科,20250610,86260,4296115,49.90,50.00,49.60,50.00,+0.40,50
3168,眾福科,20250611,68085,3389975,50.60,50.70,49.50,49.50,-0.50,20
3168,眾福科,20250612,83094,4096217,49.20,49.65,49.00,49.65,+0.15,28
3168,眾福科,20250613,24008,1182448,49.10,49.80,49.00,49.40,-0.25,23
3168,眾福科,20250616,29031,1446899,49.10,50.10,49.00,49.30,-0.10,27
3168,眾福科,20250617,79830,3994315,51.40,51.40,49.40,50.10,+0.80,279
3168,眾福科,20250618,52973,2467224,47.15,47.70,46.00,46.00,X0.00,119
3168,眾福科,20250619,69514,3199606,46.95,46.95,44.95,44.95,-1.05,51
3168,眾福科,20250620,52383,2367002,45.10,46.50,44.20,45.10,+0.15,34
