股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3189,景碩,20250602,3861003,301719598,80.30,80.50,77.00,77.20,-4.50,"3,541"
3189,景碩,20250603,1406003,109579431,78.10,78.60,77.50,77.60,+0.40,"1,270"
3189,景碩,20250604,3361676,270842154,78.70,82.10,78.60,81.30,+3.70,"2,896"
3189,景碩,20250605,1334478,108560873,81.00,82.30,80.50,81.20,-0.10,"1,382"
3189,景碩,20250606,861755,69822504,80.60,81.70,80.40,81.20, 0.00,711
3189,景碩,20250609,1025525,82797902,81.60,82.30,80.00,80.60,-0.60,887
3189,景碩,20250610,3718207,308677843,81.00,83.70,81.00,83.20,+2.60,"3,140"
3189,景碩,20250611,18371938,1630995960,84.10,91.50,83.60,91.50,+8.30,"14,007"
3189,景碩,20250612,12037106,1095935076,90.00,92.20,89.60,91.20,-0.30,"10,835"
3189,景碩,20250613,6762971,601307297,90.10,90.90,87.50,87.50,-3.70,"5,257"
3189,景碩,20250616,4352885,382783980,87.30,89.30,86.70,87.40,-0.10,"3,260"
3189,景碩,20250617,4912693,423350356,88.00,88.70,84.90,85.10,-2.30,"4,209"
3189,景碩,20250618,3124541,267124239,85.10,86.80,85.00,85.10, 0.00,"2,712"
3189,景碩,20250619,2183537,183492826,85.10,85.40,83.50,83.90,-1.20,"1,955"
3189,景碩,20250620,1777540,147292469,84.10,84.50,82.30,82.40,-1.50,"1,463"
