股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3224,三顧,20250602,67000,2507000,37.55,37.65,36.05,36.55,-1.30,40
3224,三顧,20250603,19000,700000,36.80,37.05,36.30,36.30,-0.25,27
3224,三顧,20250604,21000,773000,36.80,36.80,36.40,36.80,0.50,31
3224,三顧,20250605,20000,746000,36.95,37.85,36.70,37.25,0.45,26
3224,三顧,20250606,54000,2001000,37.70,37.70,36.95,37.35,0.10,29
3224,三顧,20250609,69000,2629000,37.90,38.15,37.85,38.15,0.80,49
3224,三顧,20250610,71000,2668000,37.60,38.35,37.45,37.90,-0.25,45
3224,三顧,20250611,76000,2817000,37.85,37.90,36.65,37.90,0.00,56
3224,三顧,20250612,37000,1406000,37.90,37.95,37.35,37.95,0.05,43
3224,三顧,20250613,86000,3177000,38.20,38.20,36.60,37.50,-0.45,66
3224,三顧,20250616,20000,754000,37.60,37.60,37.30,37.35,-0.15,62
3224,三顧,20250617,28000,1033000,37.05,37.20,36.85,36.85,-0.50,60
3224,三顧,20250618,44000,1611000,36.40,36.80,36.20,36.45,-0.40,45
3224,三顧,20250619,85000,3020000,36.10,36.10,35.40,36.00,-0.45,70
3224,三顧,20250620,23000,821000,35.90,35.90,35.50,35.50,-0.50,24
