股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3259,鑫創,20250602,6000,135000,22.50,22.50,22.50,22.50,0.00,9
3259,鑫創,20250603,20000,439000,22.60,22.60,21.90,21.90,-0.60,23
3259,鑫創,20250604,6000,133000,21.75,22.70,21.45,22.70,0.80,16
3259,鑫創,20250605,8000,177000,22.00,22.50,21.95,22.50,-0.20,7
3259,鑫創,20250606,21000,469000,21.75,22.70,21.75,22.70,0.20,17
3259,鑫創,20250609,4000,93000,22.70,22.70,22.65,22.65,-0.05,5
3259,鑫創,20250610,26000,588000,22.50,22.50,21.40,22.50,-0.15,21
3259,鑫創,20250611,18000,404000,22.50,22.50,22.40,22.40,-0.10,12
3259,鑫創,20250612,77000,1715000,22.00,22.40,22.00,22.40,0.00,24
3259,鑫創,20250613,40000,884000,21.35,22.35,21.35,22.20,-0.20,10
3259,鑫創,20250616,43000,927000,21.50,22.20,21.40,22.20,0.00,25
3259,鑫創,20250617,50000,1079000,21.60,21.85,21.30,21.80,-0.40,34
3259,鑫創,20250618,43000,927000,21.80,21.80,21.40,21.45,-0.35,17
3259,鑫創,20250619,65000,1412000,21.30,22.50,21.30,22.00,0.55,23
3259,鑫創,20250620,57000,1257000,22.00,22.40,21.00,22.15,0.15,29
