股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3266,昇陽,20250602,58023,884102,15.45,15.45,15.15,15.20,-0.35,49
3266,昇陽,20250603,47080,715333,15.35,15.40,15.10,15.35,+0.15,46
3266,昇陽,20250604,23200,352889,15.15,15.35,15.10,15.20,-0.15,19
3266,昇陽,20250605,33111,503136,15.15,15.40,15.10,15.10,-0.10,31
3266,昇陽,20250606,50201,762375,15.30,15.30,15.10,15.15,+0.05,30
3266,昇陽,20250609,17247,260428,15.20,15.20,15.05,15.05,-0.10,21
3266,昇陽,20250610,147159,2256198,15.20,15.40,15.20,15.40,+0.35,41
3266,昇陽,20250611,54000,839900,15.70,15.70,15.35,15.40, 0.00,37
3266,昇陽,20250612,41382,632480,15.35,15.35,15.25,15.25,-0.15,33
3266,昇陽,20250613,70000,1058300,15.20,15.20,15.05,15.05,-0.20,56
3266,昇陽,20250616,34100,515669,15.05,15.25,15.05,15.25,+0.20,30
3266,昇陽,20250617,34005,521175,15.25,15.40,15.25,15.40,+0.15,27
3266,昇陽,20250618,34119,524414,15.35,15.45,15.30,15.35,-0.05,29
3266,昇陽,20250619,70006,1052890,15.25,15.25,14.95,14.95,-0.40,56
3266,昇陽,20250620,58120,865061,15.00,15.00,14.75,14.95, 0.00,39
