股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3284,太普高,20250602,20000,559000,28.65,28.65,28.30,28.50,-0.30,47
3284,太普高,20250603,21000,595000,28.50,28.50,28.35,28.35,-0.15,39
3284,太普高,20250604,42000,1185000,28.55,28.75,28.35,28.40,0.05,47
3284,太普高,20250605,30000,852000,28.55,28.55,28.05,28.05,-0.35,47
3284,太普高,20250606,13000,359000,28.30,28.30,27.95,28.00,-0.05,50
3284,太普高,20250609,78000,2154000,27.65,27.80,27.20,27.75,-0.25,73
3284,太普高,20250610,36000,987000,27.60,27.75,27.45,27.55,-0.20,50
3284,太普高,20250611,12000,324000,27.50,27.70,27.45,27.50,-0.05,26
3284,太普高,20250612,29000,788000,27.30,27.50,27.25,27.50,0.00,39
3284,太普高,20250613,13000,357000,27.40,27.65,27.35,27.50,0.00,34
3284,太普高,20250616,33000,905000,27.20,27.90,27.20,27.90,0.40,58
3284,太普高,20250617,36000,997000,27.90,27.90,27.15,27.65,-0.25,31
3284,太普高,20250618,105000,2839000,27.35,27.35,26.70,26.80,-0.85,127
3284,太普高,20250619,68000,1805000,26.60,27.00,26.30,27.00,0.20,38
3284,太普高,20250620,27000,717000,26.90,27.00,26.65,26.75,-0.25,48
