股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3303,岱稜,20250602,119000,5909000,50.10,50.10,49.50,50.00,-0.30,117
3303,岱稜,20250603,145000,7298000,50.00,50.70,49.90,50.70,0.70,109
3303,岱稜,20250604,224000,11350000,50.90,51.50,50.20,50.20,-0.50,238
3303,岱稜,20250605,117000,5831000,50.40,50.60,49.70,49.75,-0.45,139
3303,岱稜,20250606,117000,5777000,49.75,49.80,49.25,49.35,-0.40,125
3303,岱稜,20250609,325000,15776000,49.00,49.35,48.15,49.35,0.00,275
3303,岱稜,20250610,242000,11859000,48.70,49.40,48.60,49.20,-0.15,204
3303,岱稜,20250611,227000,11142000,49.20,49.30,48.60,49.10,-0.10,195
3303,岱稜,20250612,133000,6500000,49.50,49.50,48.85,48.95,-0.15,116
3303,岱稜,20250613,217000,10457000,48.85,48.85,47.65,47.70,-1.25,251
3303,岱稜,20250616,224000,10857000,48.25,49.15,47.30,49.10,1.40,168
3303,岱稜,20250617,167000,8255000,49.45,49.65,49.15,49.65,0.55,155
3303,岱稜,20250618,158000,7893000,49.60,50.20,49.40,50.00,0.35,128
3303,岱稜,20250619,156000,7813000,49.90,50.20,49.80,50.00,0.00,122
3303,岱稜,20250620,173000,8614000,50.30,50.30,49.45,49.85,-0.15,146
