股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3338,泰碩,20250602,182519,9718093,54.10,54.10,52.90,53.30,-1.30,185
3338,泰碩,20250603,730721,40200020,53.50,55.70,53.50,55.30,+2.00,760
3338,泰碩,20250604,422842,23574407,56.10,56.50,55.30,55.90,+0.60,481
3338,泰碩,20250605,307678,17221355,56.00,56.30,55.60,55.70,-0.20,288
3338,泰碩,20250606,162073,9034646,55.50,56.00,55.10,55.80,+0.10,197
3338,泰碩,20250609,373698,20458382,56.30,56.30,54.00,55.10,-0.70,403
3338,泰碩,20250610,583826,31068915,54.40,54.60,52.60,53.10,-2.00,935
3338,泰碩,20250611,267264,14294263,53.50,53.80,53.00,53.40,+0.30,221
3338,泰碩,20250612,553229,30220885,53.80,55.60,53.30,54.30,+0.90,719
3338,泰碩,20250613,404357,21484439,54.20,54.20,52.60,52.60,-1.70,707
3338,泰碩,20250616,218756,11367680,52.80,52.80,51.50,52.20,-0.40,500
3338,泰碩,20250617,261288,13844982,53.00,54.00,52.30,52.30,+0.10,349
3338,泰碩,20250618,266405,14135117,52.70,53.50,52.30,53.10,+0.80,208
3338,泰碩,20250619,182560,9538357,53.00,53.30,51.80,51.80,-1.30,324
3338,泰碩,20250620,196692,10032090,52.10,52.10,50.30,50.80,-1.00,267
