股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3363,上詮,20250602,6645000,1537957000,234.50,243.00,222.50,243.00,6.50,"6,010"
3363,上詮,20250603,11261000,2763753000,245.00,251.00,241.50,247.50,4.50,"9,206"
3363,上詮,20250604,10102000,2544933000,249.00,258.00,247.50,249.50,2.00,"8,668"
3363,上詮,20250605,5844000,1429824000,249.50,251.00,239.00,241.50,-8.00,"5,296"
3363,上詮,20250606,637000,153072000,240.00,245.00,236.00,241.00,-0.50,538
3363,上詮,20250609,378000,90128000,242.50,242.50,236.50,238.50,-2.50,390
3363,上詮,20250610,407000,98392000,239.00,245.00,238.00,242.50,4.00,464
3363,上詮,20250611,737000,182747000,245.00,250.00,245.00,248.00,5.50,705
3363,上詮,20250612,362000,89975000,251.50,251.50,246.00,246.00,-2.00,412
3363,上詮,20250613,294000,72903000,249.00,249.00,245.50,245.50,-0.50,358
3363,上詮,20250616,357000,88877000,244.50,250.50,244.50,247.50,2.00,373
3363,上詮,20250617,416000,104468000,250.50,253.00,250.00,251.50,4.00,487
3363,上詮,20250618,883000,226830000,251.00,260.00,251.00,260.00,8.50,847
3363,上詮,20250619,850000,225891000,264.00,270.00,260.00,263.00,3.00,926
3363,上詮,20250620,610000,156391000,263.50,263.50,250.00,260.00,-3.00,668
