股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3419,譁裕,20250602,105559,1391152,13.50,13.50,13.10,13.15,-0.35,98
3419,譁裕,20250603,76427,1007412,13.50,13.50,13.05,13.10,-0.05,61
3419,譁裕,20250604,203525,2749152,13.10,14.15,13.10,13.30,+0.20,128
3419,譁裕,20250605,37582,502019,13.30,13.65,13.25,13.30, 0.00,42
3419,譁裕,20250606,63372,844101,13.30,13.45,13.15,13.25,-0.05,71
3419,譁裕,20250609,60662,805376,13.30,13.50,13.15,13.20,-0.05,96
3419,譁裕,20250610,129114,1717395,13.40,13.50,13.15,13.30,+0.10,92
3419,譁裕,20250611,166049,2229250,13.25,13.60,13.25,13.45,+0.15,109
3419,譁裕,20250612,61198,813698,13.35,13.45,13.25,13.30,-0.15,54
3419,譁裕,20250613,87780,1151850,13.25,13.25,13.00,13.10,-0.20,100
3419,譁裕,20250616,175969,2289337,13.25,13.25,12.90,13.20,+0.10,130
3419,譁裕,20250617,200472,2618740,13.15,13.20,12.90,13.20, 0.00,112
3419,譁裕,20250618,100279,1308375,13.30,13.30,12.95,13.00,-0.20,79
3419,譁裕,20250619,259328,3298432,13.15,13.15,12.50,12.50,-0.50,170
3419,譁裕,20250620,190342,2352469,12.50,12.60,12.00,12.50, 0.00,139
