股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3550,聯穎,20250602,144163,1924843,13.60,13.60,13.25,13.30,-0.35,159
3550,聯穎,20250603,153822,2081621,13.60,13.75,13.35,13.65,+0.35,118
3550,聯穎,20250604,2074362,30200977,13.75,15.00,13.75,14.35,+0.70,"1,126"
3550,聯穎,20250605,477151,6856100,14.30,14.65,14.15,14.25,-0.10,366
3550,聯穎,20250606,363825,5130101,14.25,14.40,13.85,14.10,-0.15,264
3550,聯穎,20250609,376157,5183414,14.30,14.30,13.65,13.65,-0.45,241
3550,聯穎,20250610,1715569,25161284,13.75,14.95,13.75,14.80,+1.15,"2,631"
3550,聯穎,20250611,603591,8780190,15.00,15.00,14.35,14.35,-0.45,445
3550,聯穎,20250612,223625,3211646,14.65,14.65,14.25,14.30,-0.05,172
3550,聯穎,20250613,654365,9121101,14.25,14.25,13.70,13.85,-0.45,412
3550,聯穎,20250616,177488,2438025,14.05,14.05,13.70,13.70,-0.15,132
3550,聯穎,20250617,248606,3483977,13.95,14.30,13.90,13.95,+0.25,174
3550,聯穎,20250618,281523,3989162,13.90,14.50,13.90,14.15,+0.20,215
3550,聯穎,20250619,259368,3618056,14.20,14.20,13.80,13.90,-0.25,151
3550,聯穎,20250620,1214549,17570050,13.90,14.75,13.85,14.30,+0.40,616
