股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3583,辛耘,20250602,732539,202072621,283.00,283.00,273.00,274.50,-10.50,"1,562"
3583,辛耘,20250603,448262,124816423,276.50,281.50,276.50,277.00,+2.50,623
3583,辛耘,20250604,619035,176157531,282.50,287.00,282.00,286.00,+9.00,"1,041"
3583,辛耘,20250605,1192097,346295517,284.00,294.50,284.00,286.00, 0.00,"1,599"
3583,辛耘,20250606,666727,191559019,288.00,289.50,283.50,289.00,+3.00,887
3583,辛耘,20250609,493079,142594357,291.00,292.00,287.00,289.00, 0.00,722
3583,辛耘,20250610,2274881,684794438,293.00,307.50,292.00,304.50,+15.50,"3,092"
3583,辛耘,20250611,1853513,566841993,308.00,309.00,300.50,309.00,+4.50,"5,830"
3583,辛耘,20250612,4041252,1274608879,310.00,322.50,309.00,315.00,+6.00,"4,631"
3583,辛耘,20250613,1922551,605512164,315.00,321.00,311.00,313.00,-2.00,"2,439"
3583,辛耘,20250616,1686621,532156228,311.00,319.50,308.00,318.00,+5.00,"2,041"
3583,辛耘,20250617,4868346,1638626815,322.50,348.00,320.00,330.00,+12.00,"6,133"
3583,辛耘,20250618,2250919,735985402,329.00,330.00,324.00,325.00,-5.00,"2,674"
3583,辛耘,20250619,1344898,439592485,326.00,329.00,324.00,329.00,+4.00,"1,671"
3583,辛耘,20250620,1726196,563092800,329.00,330.50,320.50,326.00,-3.00,"2,060"
