股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3588,通嘉,20250602,108804,5081835,48.10,48.20,46.10,46.10,-2.40,156
3588,通嘉,20250603,101391,4677588,46.85,46.85,45.85,46.10, 0.00,82
3588,通嘉,20250604,126541,5990484,46.75,47.80,46.65,47.60,+1.50,153
3588,通嘉,20250605,74229,3604441,47.80,49.15,47.80,48.20,+0.60,137
3588,通嘉,20250606,91948,4484630,48.85,49.05,47.55,49.05,+0.85,129
3588,通嘉,20250609,76433,3702887,49.00,49.05,47.95,48.10,-0.95,137
3588,通嘉,20250610,45495,2199150,48.00,48.70,48.00,48.25,+0.15,81
3588,通嘉,20250611,91871,4428192,48.05,48.70,48.00,48.10,-0.15,127
3588,通嘉,20250612,61761,2966267,47.80,48.70,47.65,47.90,-0.20,203
3588,通嘉,20250613,135270,6379127,47.80,47.80,46.50,46.50,-1.40,486
3588,通嘉,20250616,44995,2098390,46.20,47.00,45.90,46.70,+0.20,99
3588,通嘉,20250617,73111,3486697,46.70,48.40,46.70,47.20,+0.50,102
3588,通嘉,20250618,47940,2285173,46.90,47.95,46.90,47.65,+0.45,84
3588,通嘉,20250619,86269,4021351,47.30,47.30,46.35,46.35,-1.30,282
3588,通嘉,20250620,93304,4255220,46.35,47.45,45.10,45.50,-0.85,401
