股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3607,谷崧,20250602,281306,3963677,14.50,14.50,13.95,14.05,-0.45,207
3607,谷崧,20250603,122314,1713634,14.05,14.10,13.90,14.00,-0.05,87
3607,谷崧,20250604,95371,1354694,14.20,14.30,14.10,14.20,+0.20,70
3607,谷崧,20250605,102077,1445531,14.25,14.30,14.05,14.10,-0.10,91
3607,谷崧,20250606,98424,1391003,14.10,14.20,14.05,14.10, 0.00,79
3607,谷崧,20250609,122159,1699961,14.25,14.25,13.80,13.90,-0.20,120
3607,谷崧,20250610,865793,12799637,14.00,15.25,14.00,14.70,+0.80,590
3607,谷崧,20250611,283965,4169814,14.70,14.80,14.55,14.70, 0.00,218
3607,谷崧,20250612,228723,3353284,14.70,14.80,14.50,14.75,+0.05,130
3607,谷崧,20250613,352722,5137177,14.45,14.80,14.45,14.50,-0.25,215
3607,谷崧,20250616,86648,1260104,14.50,14.75,14.35,14.65,+0.15,63
3607,谷崧,20250617,168921,2449718,14.65,14.65,14.45,14.45,-0.20,95
3607,谷崧,20250618,42189,608292,14.40,14.55,14.35,14.45, 0.00,38
3607,谷崧,20250619,130411,1887992,14.45,14.90,14.35,14.40,-0.05,121
3607,谷崧,20250620,300088,4412000,14.55,14.95,14.35,14.75,+0.35,223
