股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3701,大眾控,20250602,254366,8143737,33.00,33.00,31.60,32.00,-0.85,248
3701,大眾控,20250603,711937,23903814,32.10,34.20,32.10,33.75,+1.75,632
3701,大眾控,20250604,630006,21600816,34.05,35.10,33.75,33.80,+0.05,504
3701,大眾控,20250605,304723,10248217,34.00,34.20,33.20,33.40,-0.40,244
3701,大眾控,20250606,145896,4888721,33.65,33.80,33.15,33.60,+0.20,121
3701,大眾控,20250609,278335,9170352,33.65,33.70,32.60,32.90,-0.70,228
3701,大眾控,20250610,117179,3894151,33.50,33.50,33.00,33.30,+0.40,116
3701,大眾控,20250611,355332,11908966,34.30,34.30,32.95,33.50,+0.20,284
3701,大眾控,20250612,555701,18945388,34.00,34.55,33.55,34.40,+0.90,338
3701,大眾控,20250613,839986,27502557,34.00,34.00,31.80,31.80,-2.60,648
3701,大眾控,20250616,223063,7190478,31.70,32.60,31.60,32.35,+0.55,218
3701,大眾控,20250617,467241,15604628,32.85,34.00,32.70,33.10,+0.75,403
3701,大眾控,20250618,197950,6577345,33.45,33.50,32.95,33.30,+0.20,172
3701,大眾控,20250619,269342,8863538,33.30,33.30,32.60,32.70,-0.60,244
3701,大眾控,20250620,192164,6193344,32.75,32.80,31.90,32.35,-0.35,209
