股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
3711,日月光投控,20250602,15766550,2126760721,136.50,138.50,133.00,134.50,-3.50,"9,428"
3711,日月光投控,20250603,21396786,2881838548,136.00,137.00,133.50,133.50,-1.00,"9,403"
3711,日月光投控,20250604,17117347,2381534549,136.50,140.50,136.50,140.00,+6.50,"8,530"
3711,日月光投控,20250605,11826503,1669258783,139.00,142.50,139.00,139.50,-0.50,"6,525"
3711,日月光投控,20250606,7049419,980216538,139.00,141.00,138.00,139.00,-0.50,"5,976"
3711,日月光投控,20250609,8035448,1125880921,140.00,141.50,139.00,140.00,+1.00,"4,695"
3711,日月光投控,20250610,15797976,2252549550,141.50,143.50,141.50,142.50,+2.50,"6,736"
3711,日月光投控,20250611,16593825,2410867152,145.00,147.00,144.00,145.50,+3.00,"7,826"
3711,日月光投控,20250612,13187580,1904007685,147.00,147.00,142.50,145.00,-0.50,"6,802"
3711,日月光投控,20250613,13759259,1973814473,142.50,145.50,141.00,143.50,-1.50,"6,544"
3711,日月光投控,20250616,10005171,1450593688,143.00,146.00,143.00,145.00,+1.50,"4,266"
3711,日月光投控,20250617,12563993,1857080295,146.00,149.00,146.00,148.00,+3.00,"6,791"
3711,日月光投控,20250618,11059800,1643831297,147.00,150.00,146.50,148.00, 0.00,"7,276"
3711,日月光投控,20250619,8570802,1255340823,147.50,149.50,145.00,146.00,-2.00,"5,218"
3711,日月光投控,20250620,11364281,1642726595,145.50,147.00,143.50,144.50,-1.50,"4,083"
