股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4142,國光生,20250602,5159726,97730244,19.00,19.45,18.35,18.35,-0.35,"2,966"
4142,國光生,20250603,1853740,33741288,18.55,18.55,18.10,18.10,-0.25,"1,201"
4142,國光生,20250604,1891183,34075864,18.20,18.20,17.90,18.00,-0.10,"1,259"
4142,國光生,20250605,2370660,41820639,18.00,18.05,17.40,17.50,-0.50,"1,555"
4142,國光生,20250606,1602995,27836929,17.50,17.55,17.20,17.55,+0.05,"1,005"
4142,國光生,20250609,1314473,22702737,17.60,17.65,17.10,17.20,-0.35,926
4142,國光生,20250610,1236336,21232563,17.20,17.30,17.00,17.30,+0.10,804
4142,國光生,20250611,1170248,20258218,17.35,17.40,17.15,17.40,+0.10,783
4142,國光生,20250612,980516,17118961,17.45,17.60,17.35,17.40, 0.00,663
4142,國光生,20250613,1209119,20746323,17.30,17.40,17.00,17.05,-0.35,845
4142,國光生,20250616,1415478,23816590,16.95,16.95,16.70,16.90,-0.15,843
4142,國光生,20250617,833925,14072767,17.00,17.00,16.75,16.85,-0.05,508
4142,國光生,20250618,1054941,18003048,16.85,17.20,16.80,17.20,+0.35,596
4142,國光生,20250619,810876,13683774,17.10,17.20,16.75,16.80,-0.40,545
4142,國光生,20250620,1394855,23030101,16.70,16.80,16.25,16.50,-0.30,914
