股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4154,樂威科-KY,20250602,5000,93000,18.60,18.60,18.55,18.60,0.05,4
4154,樂威科-KY,20250603,3000,56000,18.40,19.00,18.30,19.00,0.40,5
4154,樂威科-KY,20250604,27000,498000,18.35,18.90,18.00,18.90,-0.10,20
4154,樂威科-KY,20250605,6000,111000,18.25,18.65,18.25,18.65,-0.25,5
4154,樂威科-KY,20250606,11000,215000,19.20,19.20,19.10,19.10,0.45,10
4154,樂威科-KY,20250609,18000,342000,19.10,19.10,18.55,18.55,-0.55,11
4154,樂威科-KY,20250610,19000,356000,18.65,18.95,18.55,18.55,0.00,10
4154,樂威科-KY,20250611,8000,148000,18.25,18.85,18.25,18.40,-0.15,7
4154,樂威科-KY,20250612,1000,19000,18.75,18.75,18.75,18.75,0.35,1
4154,樂威科-KY,20250613,5000,93000,18.65,18.75,18.65,18.65,-0.10,5
4154,樂威科-KY,20250616,15000,286000,19.15,19.15,18.55,18.55,-0.10,5
4154,樂威科-KY,20250617,24000,440000,18.55,18.55,18.00,18.55,0.00,21
4154,樂威科-KY,20250618,14000,258000,18.50,18.50,18.30,18.40,-0.15,9
4154,樂威科-KY,20250619,16000,294000,18.80,18.80,18.05,18.15,-0.25,16
4154,樂威科-KY,20250620,1000,19000,18.75,18.75,18.75,18.75,0.60,1
