股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4190,佐登-KY,20250602,12558,453962,37.45,37.45,35.30,35.75,-1.00,124
4190,佐登-KY,20250603,12670,463376,37.00,37.00,36.05,36.05,+0.30,118
4190,佐登-KY,20250604,14884,544109,36.10,36.80,36.10,36.50,+0.45,84
4190,佐登-KY,20250605,12133,444016,36.70,36.80,36.40,36.60,+0.10,85
4190,佐登-KY,20250606,20107,734559,36.45,36.50,36.45,36.50,-0.10,246
4190,佐登-KY,20250609,7446,272149,36.50,36.50,36.35,36.45,-0.05,88
4190,佐登-KY,20250610,11031,402967,36.50,36.55,36.50,36.50,+0.05,54
4190,佐登-KY,20250611,5335,194575,36.40,36.45,36.40,36.45,-0.05,42
4190,佐登-KY,20250612,5948,216620,36.45,36.50,36.30,36.30,-0.15,40
4190,佐登-KY,20250613,22552,808633,35.85,35.85,35.70,35.75,-0.55,121
4190,佐登-KY,20250616,11363,407772,35.20,37.30,35.20,37.30,+1.55,71
4190,佐登-KY,20250617,18253,657122,35.80,37.10,35.80,36.35,-0.95,74
4190,佐登-KY,20250618,13493,491278,36.30,37.45,36.05,36.30,-0.05,44
4190,佐登-KY,20250619,11628,416707,35.55,36.60,35.55,35.60,-0.70,62
4190,佐登-KY,20250620,20599,722549,35.60,35.60,34.85,34.95,-0.65,186
