股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4306,炎洲,20250602,1036811,16666642,16.30,16.30,15.95,16.00,-0.30,650
4306,炎洲,20250603,516034,8267561,16.05,16.10,15.95,16.00, 0.00,424
4306,炎洲,20250604,581586,9435364,16.00,16.35,16.00,16.15,+0.15,375
4306,炎洲,20250605,389478,6319572,16.20,16.30,16.15,16.20,+0.05,261
4306,炎洲,20250606,383237,6203412,16.10,16.25,16.10,16.15,-0.05,223
4306,炎洲,20250609,654455,10485614,16.20,16.20,15.90,16.00,-0.15,426
4306,炎洲,20250610,560000,9012125,16.00,16.20,16.00,16.05,+0.05,320
4306,炎洲,20250611,2118591,33498765,16.00,16.00,15.70,15.75,-0.30,"1,251"
4306,炎洲,20250612,601930,9549277,15.80,15.95,15.80,15.85,+0.10,445
4306,炎洲,20250613,990755,15553295,15.80,15.85,15.60,15.65,-0.20,906
4306,炎洲,20250616,1292211,19941759,15.55,15.60,15.30,15.60,-0.05,858
4306,炎洲,20250617,648023,10171365,15.70,15.80,15.60,15.65,+0.05,606
4306,炎洲,20250618,719677,11376594,15.70,15.90,15.65,15.80,+0.15,487
4306,炎洲,20250619,732926,11524593,15.80,15.85,15.65,15.80, 0.00,619
4306,炎洲,20250620,1139249,17782251,15.80,15.80,15.45,15.75,-0.05,824
