股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4609,唐鋒,20250602,30000,227000,7.30,7.63,7.30,7.61,0.37,13
4609,唐鋒,20250603,6000,46000,7.60,7.60,7.60,7.60,-0.01,3
4609,唐鋒,20250604,0,0,--,--,--,--,0.00,0
4609,唐鋒,20250605,1000,5000,--,--,--,--,0.00,2
4609,唐鋒,20250606,1000,8000,7.60,7.60,7.60,7.60,0.00,1
4609,唐鋒,20250609,0,0,--,--,--,--,0.00,0
4609,唐鋒,20250610,6000,46000,7.62,7.62,7.62,7.62,0.02,4
4609,唐鋒,20250611,6000,50000,8.35,8.35,7.60,7.60,-0.02,3
4609,唐鋒,20250612,5000,38000,7.60,7.60,7.60,7.60,0.00,1
4609,唐鋒,20250613,0,0,--,--,--,--,0.00,0
4609,唐鋒,20250616,5000,39000,7.65,8.26,7.65,8.26,0.65,3
4609,唐鋒,20250617,0,0,--,--,--,--,0.00,0
4609,唐鋒,20250618,17000,140000,8.25,8.25,8.25,8.25,0.00,2
4609,唐鋒,20250619,50000,411000,8.20,8.30,8.20,8.30,0.05,4
4609,唐鋒,20250620,25000,203000,8.01,8.20,7.90,8.20,-0.10,11
