股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4714,永捷,20250602,650000,10820000,16.70,16.90,16.45,16.65,-0.15,462
4714,永捷,20250603,343000,5699000,16.80,16.85,16.50,16.50,-0.15,223
4714,永捷,20250604,500000,8363000,16.60,16.90,16.60,16.70,0.20,231
4714,永捷,20250605,515000,8643000,16.75,17.05,16.60,16.60,-0.10,297
4714,永捷,20250606,335000,5584000,16.60,16.85,16.60,16.60,0.00,208
4714,永捷,20250609,460000,7596000,16.80,16.80,16.40,16.50,-0.10,271
4714,永捷,20250610,614000,10340000,16.60,17.00,16.55,17.00,0.50,337
4714,永捷,20250611,2563000,45381000,18.00,18.05,17.40,17.75,0.75,"1,370"
4714,永捷,20250612,1129000,20056000,17.70,17.95,17.60,17.70,-0.05,538
4714,永捷,20250613,2083000,37068000,17.80,18.20,17.25,17.25,-0.45,"1,077"
4714,永捷,20250616,743000,12777000,17.25,17.40,17.10,17.20,-0.05,485
4714,永捷,20250617,646000,11121000,17.40,17.50,17.05,17.05,-0.15,390
4714,永捷,20250618,559000,9649000,17.10,17.50,17.05,17.35,0.30,320
4714,永捷,20250619,3463000,61900000,17.40,18.15,17.15,17.85,0.50,"1,651"
4714,永捷,20250620,3322000,59370000,17.95,18.25,17.50,17.80,-0.05,"1,529"
