股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4741,泓瀚,20250602,153000,4018000,26.95,26.95,26.00,26.10,-0.90,114
4741,泓瀚,20250603,61000,1619000,26.15,26.80,26.15,26.70,0.60,54
4741,泓瀚,20250604,84000,2278000,26.55,27.25,26.55,27.10,0.40,80
4741,泓瀚,20250605,129000,3549000,27.15,27.80,27.15,27.70,0.60,104
4741,泓瀚,20250606,104000,2863000,27.70,27.95,27.30,27.30,-0.40,88
4741,泓瀚,20250609,275000,7366000,27.70,27.90,26.30,26.35,-0.95,199
4741,泓瀚,20250610,43000,1136000,26.35,26.60,26.05,26.45,0.10,34
4741,泓瀚,20250611,53000,1419000,26.55,26.80,26.45,26.80,0.35,52
4741,泓瀚,20250612,9000,244000,26.80,27.00,26.80,26.80,0.00,10
4741,泓瀚,20250613,47000,1246000,26.60,26.60,26.35,26.35,-0.45,41
4741,泓瀚,20250616,21000,556000,26.25,26.60,26.20,26.30,-0.05,28
4741,泓瀚,20250617,64000,1665000,26.70,26.70,25.80,25.80,-0.50,52
4741,泓瀚,20250618,55000,1431000,26.10,26.15,25.80,25.85,0.05,43
4741,泓瀚,20250619,78000,1996000,25.85,25.85,25.25,25.50,-0.35,81
4741,泓瀚,20250620,144000,3604000,25.50,25.55,25.00,25.20,-0.30,54
