股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4807,日成-KY,20250602,122013,1959485,16.50,16.50,15.60,16.05,-0.85,70
4807,日成-KY,20250603,9051,147093,16.60,16.60,16.05,16.10,+0.05,16
4807,日成-KY,20250604,10004,164864,16.65,16.65,16.20,16.35,+0.25,14
4807,日成-KY,20250605,16536,267695,16.15,16.40,16.10,16.40,+0.05,20
4807,日成-KY,20250606,7530,123639,16.55,16.55,16.35,16.35,-0.05,61
4807,日成-KY,20250609,8391,136706,16.50,16.50,16.15,16.20,-0.15,41
4807,日成-KY,20250610,61014,1009879,16.55,16.80,16.20,16.45,+0.25,59
4807,日成-KY,20250611,326715,5597782,16.55,17.95,16.50,16.55,+0.10,231
4807,日成-KY,20250612,55126,921094,16.75,16.95,16.30,16.65,+0.10,59
4807,日成-KY,20250613,61387,1033434,16.80,17.10,16.55,16.65, 0.00,72
4807,日成-KY,20250616,32651,536915,16.35,16.65,16.30,16.50,-0.15,31
4807,日成-KY,20250617,16584,275135,16.65,16.85,16.45,16.55,+0.05,30
4807,日成-KY,20250618,30123,499294,16.75,16.75,16.45,16.55, 0.00,27
4807,日成-KY,20250619,44049,722258,16.85,16.85,16.25,16.30,-0.25,32
4807,日成-KY,20250620,30172,487736,16.35,16.35,16.10,16.10,-0.20,26
