股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
4977,眾達-KY,20250602,1133217,90400882,81.90,81.90,78.80,79.60,-2.80,"1,216"
4977,眾達-KY,20250603,694105,54937739,80.40,80.80,78.70,78.70,-0.90,804
4977,眾達-KY,20250604,1411265,114487631,80.00,81.90,79.90,81.90,+3.20,"1,265"
4977,眾達-KY,20250605,1409768,116175145,82.10,83.80,81.10,81.90, 0.00,"1,512"
4977,眾達-KY,20250606,2782664,231400728,82.30,85.60,81.60,82.10,+0.20,"2,350"
4977,眾達-KY,20250609,11046209,978148088,87.40,90.30,85.70,87.30,+5.20,"8,018"
4977,眾達-KY,20250610,11201273,1005835655,87.50,92.40,86.20,90.50,+3.20,"8,341"
4977,眾達-KY,20250611,16417608,1520886180,89.70,95.80,89.20,91.10,+0.60,"13,696"
4977,眾達-KY,20250612,5006033,455934506,91.70,92.00,90.50,90.50,-0.60,"4,066"
4977,眾達-KY,20250613,3068848,272422634,90.00,90.50,87.70,88.00,-2.50,"6,651"
4977,眾達-KY,20250616,9901376,908839132,87.80,93.50,87.10,92.80,+4.80,"8,334"
4977,眾達-KY,20250617,17169624,1640154121,97.00,98.50,92.80,94.00,+1.20,"14,624"
4977,眾達-KY,20250618,6750692,633953845,93.30,96.20,92.30,92.30,-1.70,"5,554"
4977,眾達-KY,20250619,7717506,721756834,92.60,95.20,92.00,92.30, 0.00,"6,408"
4977,眾達-KY,20250620,3623512,329412632,92.30,92.90,89.20,91.20,-1.10,"3,441"
