股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5205,中茂,20250602,1000,35000,34.65,34.65,34.65,34.65,0.00,1
5205,中茂,20250603,0,0,--,--,--,--,0.00,0
5205,中茂,20250604,8000,292000,35.75,37.40,35.75,36.05,1.45,8
5205,中茂,20250605,5000,180000,37.30,37.30,34.00,37.30,1.25,7
5205,中茂,20250606,2000,79000,33.80,34.00,33.80,34.00,-3.30,3
5205,中茂,20250609,1000,44000,33.05,33.05,33.05,33.05,-0.95,2
5205,中茂,20250610,3000,100000,32.55,33.85,32.55,33.85,0.80,4
5205,中茂,20250611,4000,134000,32.70,33.95,32.70,33.95,0.10,5
5205,中茂,20250612,1000,34000,34.45,34.45,34.45,34.45,0.50,1
5205,中茂,20250613,1000,35000,34.90,34.90,34.90,34.90,0.45,2
5205,中茂,20250616,1000,35000,35.05,35.05,35.05,35.05,0.15,1
5205,中茂,20250617,0,0,--,--,--,--,0.00,0
5205,中茂,20250618,0,0,--,--,--,--,0.00,0
5205,中茂,20250619,0,0,--,--,--,--,0.00,0
5205,中茂,20250620,13000,419000,33.60,34.75,31.35,34.75,-0.05,14
