股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5283,禾聯碩,20250602,60118,5122000,85.90,85.90,84.50,84.60,-1.60,118
5283,禾聯碩,20250603,37224,3141953,84.50,84.60,84.00,84.10,-0.50,81
5283,禾聯碩,20250604,47325,3983478,84.30,84.60,83.90,84.10, 0.00,92
5283,禾聯碩,20250605,42404,3571470,85.30,85.30,83.70,84.10, 0.00,66
5283,禾聯碩,20250606,38592,3240988,83.70,84.80,83.50,84.30,+0.20,74
5283,禾聯碩,20250609,88834,7367912,83.60,83.60,82.50,82.90,-1.40,193
5283,禾聯碩,20250610,28052,2341467,82.90,83.70,82.90,83.70,+0.80,55
5283,禾聯碩,20250611,23885,1994105,83.30,83.70,83.20,83.70, 0.00,65
5283,禾聯碩,20250612,22145,1860125,83.70,84.20,83.70,84.00,+0.30,44
5283,禾聯碩,20250613,48563,4037008,83.20,83.30,82.90,83.20,-0.80,97
5283,禾聯碩,20250616,29426,2439742,82.00,83.40,81.90,83.40,+0.20,101
5283,禾聯碩,20250617,41732,3467780,83.00,83.90,82.40,83.90,+0.50,106
5283,禾聯碩,20250618,47635,3949855,82.50,83.50,82.50,82.80,-1.10,137
5283,禾聯碩,20250619,93821,7679281,83.00,83.00,81.30,81.50,-1.30,205
5283,禾聯碩,20250620,78955,6383590,81.00,82.50,80.40,81.80,+0.30,122
