股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5288,豐祥-KY,20250602,40914,5840647,143.00,143.50,142.00,143.00,-2.00,79
5288,豐祥-KY,20250603,76563,10909369,143.00,143.00,142.00,142.00,-1.00,122
5288,豐祥-KY,20250604,58694,8447420,143.00,144.50,143.00,143.50,+1.50,83
5288,豐祥-KY,20250605,79666,11429553,143.50,145.50,142.00,143.00,-0.50,110
5288,豐祥-KY,20250606,119607,17062966,143.00,143.50,141.50,143.50,+0.50,78
5288,豐祥-KY,20250609,121868,17453033,145.00,145.00,142.50,143.00,-0.50,114
5288,豐祥-KY,20250610,60492,8725033,143.00,144.50,143.00,144.00,+1.00,90
5288,豐祥-KY,20250611,553703,77275689,140.50,141.50,137.00,139.50,-4.50,549
5288,豐祥-KY,20250612,210047,28992904,141.00,141.00,137.00,139.00,-0.50,307
5288,豐祥-KY,20250613,251138,34294899,137.50,138.00,135.00,135.00,-4.00,386
5288,豐祥-KY,20250616,158293,21097654,133.50,134.50,131.00,134.00,-1.00,279
5288,豐祥-KY,20250617,98305,13180795,134.00,135.00,133.50,134.00, 0.00,128
5288,豐祥-KY,20250618,55807,7498455,134.00,135.50,133.50,134.50,+0.50,90
5288,豐祥-KY,20250619,76207,10167853,133.50,134.00,132.50,133.50,-1.00,108
5288,豐祥-KY,20250620,328067,42938173,133.50,133.50,130.00,130.50,-3.00,376
