股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5432,新門,20250602,69000,8381000,124.00,128.00,120.50,120.50,-4.00,101
5432,新門,20250603,101000,11963000,121.50,121.50,117.00,117.50,-3.00,316
5432,新門,20250604,141000,17259000,120.00,124.00,120.00,123.00,5.50,156
5432,新門,20250605,175000,21425000,124.00,124.50,119.00,120.50,-2.50,376
5432,新門,20250606,285000,35476000,123.00,127.00,120.50,126.50,6.00,420
5432,新門,20250609,176000,22114000,128.50,128.50,124.00,124.50,-2.00,577
5432,新門,20250610,177000,22610000,127.00,132.00,124.50,125.50,1.00,226
5432,新門,20250611,67000,8385000,128.00,128.00,124.00,125.00,-0.50,113
5432,新門,20250612,100000,12652000,127.00,127.50,124.00,125.50,0.50,110
5432,新門,20250613,160000,19778000,125.50,127.50,121.00,121.00,-4.50,166
5432,新門,20250616,110000,13537000,121.50,125.50,119.00,125.00,4.00,121
5432,新門,20250617,137000,17295000,127.00,128.00,125.00,125.00,0.00,230
5432,新門,20250618,75000,9411000,125.50,126.50,123.50,123.50,-1.50,86
5432,新門,20250619,84000,10139000,124.50,124.50,119.00,120.00,-3.50,145
5432,新門,20250620,51000,6097000,122.00,122.00,118.00,118.00,-2.00,61
