股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5525,順天,20250602,56269,1813176,32.50,32.60,31.50,32.25,-0.50,71
5525,順天,20250603,142307,4564031,32.25,32.55,31.95,32.20,-0.05,91
5525,順天,20250604,56518,1846529,32.60,32.90,32.40,32.50,+0.30,41
5525,順天,20250605,39091,1270106,32.50,32.60,32.45,32.55,+0.05,26
5525,順天,20250606,52022,1690454,32.55,32.60,32.45,32.55, 0.00,55
5525,順天,20250609,27694,905488,32.60,33.00,32.50,32.95,+0.40,25
5525,順天,20250610,74641,2464334,32.90,33.25,32.60,33.05,+0.10,66
5525,順天,20250611,63683,2087656,32.80,32.80,32.70,32.80,-0.25,28
5525,順天,20250612,70558,2307257,32.65,32.85,32.60,32.80, 0.00,27
5525,順天,20250613,60000,1953800,32.60,32.65,32.30,32.30,-0.50,39
5525,順天,20250616,94830,3097441,32.30,32.90,32.30,32.75,+0.45,57
5525,順天,20250617,53260,1748267,32.60,33.00,32.60,32.95,+0.20,40
5525,順天,20250618,68693,2266017,32.75,33.20,32.75,33.05,+0.10,50
5525,順天,20250619,126936,4123631,33.05,33.05,32.10,32.20,-0.85,80
5525,順天,20250620,75039,2420463,32.30,32.90,32.00,32.80,+0.60,53
