股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5531,鄉林,20250602,1213900,11934779,9.92,9.96,9.75,9.80,-0.20,629
5531,鄉林,20250603,1808486,17820479,9.90,10.00,9.72,9.78,-0.02,912
5531,鄉林,20250604,1390678,13644257,9.88,9.93,9.73,9.73,-0.05,699
5531,鄉林,20250605,1135159,11016140,9.77,9.77,9.65,9.69,-0.04,540
5531,鄉林,20250606,950775,9369028,9.71,9.98,9.67,9.90,+0.21,491
5531,鄉林,20250609,1634307,15872552,9.90,9.91,9.63,9.68,-0.22,790
5531,鄉林,20250610,836014,8113744,9.70,9.80,9.63,9.63,-0.05,454
5531,鄉林,20250611,1256085,12021244,9.63,9.64,9.52,9.56,-0.07,686
5531,鄉林,20250612,1809128,17584277,9.53,9.99,9.52,9.99,+0.43,875
5531,鄉林,20250613,1229322,11918377,9.78,9.81,9.64,9.67,-0.32,802
5531,鄉林,20250616,715041,6852400,9.65,9.65,9.56,9.56,-0.11,477
5531,鄉林,20250617,949322,9069756,9.57,9.64,9.51,9.51,-0.05,619
5531,鄉林,20250618,878302,8395840,9.53,9.62,9.51,9.53,+0.02,479
5531,鄉林,20250619,2170753,20337448,9.53,9.54,9.30,9.30,-0.23,913
5531,鄉林,20250620,10019185,91772497,9.30,9.32,9.15,9.15,-0.15,755
