股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
5864,致和證,20250602,251000,3249000,13.15,13.15,12.85,12.90,-0.25,107
5864,致和證,20250603,144000,1871000,13.05,13.10,12.85,13.10,0.20,108
5864,致和證,20250604,264000,3481000,13.20,13.25,13.05,13.25,0.15,91
5864,致和證,20250605,174000,2305000,13.40,13.40,13.15,13.15,-0.10,99
5864,致和證,20250606,463000,6207000,13.25,13.60,13.25,13.45,0.30,226
5864,致和證,20250609,233000,3136000,13.45,13.50,13.35,13.50,0.05,105
5864,致和證,20250610,211000,2836000,13.30,13.55,13.30,13.50,0.00,146
5864,致和證,20250611,118000,1591000,13.50,13.50,13.40,13.45,-0.05,101
5864,致和證,20250612,286000,3839000,13.50,13.50,13.40,13.50,0.05,137
5864,致和證,20250613,485000,6536000,13.60,13.65,13.10,13.50,0.00,265
5864,致和證,20250616,129000,1728000,13.45,13.45,13.25,13.45,-0.05,73
5864,致和證,20250617,157000,2107000,13.50,13.50,13.30,13.45,0.00,93
5864,致和證,20250618,85000,1142000,13.45,13.50,13.35,13.40,-0.05,72
5864,致和證,20250619,132000,1753000,13.40,13.40,13.25,13.25,-0.15,89
5864,致和證,20250620,282000,3759000,13.30,13.50,13.20,13.25,0.00,157
