股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6112,邁達特,20250602,942333,44192174,47.00,47.50,46.10,47.30,-0.55,816
6112,邁達特,20250603,935406,44923095,47.95,49.35,47.25,47.80,+0.50,880
6112,邁達特,20250604,2575456,134873898,51.60,52.50,51.10,52.50,+4.70,"1,444"
6112,邁達特,20250605,10415370,540525031,52.50,53.30,50.30,51.90,-0.60,"6,833"
6112,邁達特,20250606,13315664,718378940,51.90,55.50,51.40,55.00,+3.10,"8,924"
6112,邁達特,20250609,11802671,638587367,55.90,56.40,53.00,53.00,-2.00,"8,540"
6112,邁達特,20250610,3850635,202774626,53.30,53.60,52.00,52.10,-0.90,"3,111"
6112,邁達特,20250611,1814264,95051020,52.50,52.90,52.00,52.50,+0.40,"1,429"
6112,邁達特,20250612,6940832,374380238,52.50,54.90,52.40,54.00,+1.50,"4,860"
6112,邁達特,20250613,6245073,334198696,53.50,55.50,51.80,52.20,-1.80,"4,641"
6112,邁達特,20250616,1381865,71220798,51.80,52.20,51.10,51.10,-1.10,"1,253"
6112,邁達特,20250617,2089228,108431321,51.90,52.80,51.30,51.30,+0.20,"1,559"
6112,邁達特,20250618,1198521,61532342,51.60,51.80,50.60,51.70,+0.40,954
6112,邁達特,20250619,1574440,79236364,51.90,52.00,49.50,49.55,-2.15,"1,415"
6112,邁達特,20250620,1337433,66383374,49.65,50.60,48.70,49.80,+0.25,"1,044"
