股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6196,帆宣,20250602,939449,159093385,171.00,172.00,167.50,170.50,-2.50,"4,707"
6196,帆宣,20250603,747995,127893674,171.00,172.00,170.00,171.50,+1.00,759
6196,帆宣,20250604,1625553,283020304,172.00,176.00,172.00,173.00,+1.50,"5,280"
6196,帆宣,20250605,728246,126190915,173.00,174.00,172.00,174.00,+1.00,787
6196,帆宣,20250606,935207,158936638,172.00,172.50,168.50,170.50,-3.50,"4,210"
6196,帆宣,20250609,850309,143706334,170.00,170.50,167.00,170.50, 0.00,"3,321"
6196,帆宣,20250610,801619,137583273,171.50,172.50,170.00,172.50,+2.00,791
6196,帆宣,20250611,798377,138679444,172.00,174.50,172.00,174.00,+1.50,919
6196,帆宣,20250612,585484,102370989,174.00,175.50,173.50,175.00,+1.00,751
6196,帆宣,20250613,662593,114766522,174.00,174.00,172.50,173.50,-1.50,688
6196,帆宣,20250616,566863,98512635,172.50,175.00,172.00,175.00,+1.50,751
6196,帆宣,20250617,1850443,326421887,175.50,178.00,174.00,176.50,+1.50,"1,682"
6196,帆宣,20250618,1670971,297998794,177.00,179.50,176.00,179.00,+2.50,"1,798"
6196,帆宣,20250619,701775,124215276,179.00,179.00,176.00,176.00,-3.00,"1,034"
6196,帆宣,20250620,2974913,533208634,177.00,182.50,174.50,177.00,+1.00,"7,585"
