股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6197,佳必琪,20250602,800012,114138226,142.00,145.00,141.50,142.00,-1.50,919
6197,佳必琪,20250603,1171018,167297927,143.00,144.50,141.00,142.50,+0.50,962
6197,佳必琪,20250604,1994777,290929632,146.00,148.50,144.00,144.00,+1.50,"1,667"
6197,佳必琪,20250605,5543266,831318317,149.00,153.00,147.50,149.00,+5.00,"4,817"
6197,佳必琪,20250606,2026190,299448672,147.00,150.50,144.50,150.00,+1.00,"1,880"
6197,佳必琪,20250609,3872427,527802477,139.00,139.00,135.00,136.00,-14.00,"3,470"
6197,佳必琪,20250610,1744630,241241811,136.50,141.50,135.50,141.50,+5.50,"1,693"
6197,佳必琪,20250611,2322785,331057885,141.50,145.00,139.50,143.50,+2.00,"2,088"
6197,佳必琪,20250612,625738,88910719,143.50,144.50,141.00,141.00,-2.50,752
6197,佳必琪,20250613,1082696,150169330,139.50,140.00,137.50,138.00,-3.00,"1,101"
6197,佳必琪,20250616,728506,101523694,137.50,140.50,137.00,140.00,+2.00,644
6197,佳必琪,20250617,490792,69291731,141.50,142.50,140.00,140.00, 0.00,570
6197,佳必琪,20250618,460902,64963695,140.00,142.00,139.50,140.50,+0.50,568
6197,佳必琪,20250619,535141,75337621,140.50,142.00,139.50,141.00,+0.50,593
6197,佳必琪,20250620,1122963,154988117,141.00,141.50,136.50,137.50,-3.50,"1,682"
