股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6227,茂綸,20250602,1899000,180583000,98.70,98.70,93.40,94.60,-4.70,"1,947"
6227,茂綸,20250603,1450000,138518000,95.50,97.70,93.60,95.10,0.50,"1,298"
6227,茂綸,20250604,3157000,313766000,96.50,102.00,96.00,99.20,4.10,"2,685"
6227,茂綸,20250605,1869000,186174000,100.00,102.00,97.40,97.70,-1.50,"1,741"
6227,茂綸,20250606,937000,90077000,96.40,97.50,95.20,95.20,-2.50,"1,030"
6227,茂綸,20250609,1090000,102171000,96.00,96.00,92.40,94.30,-0.90,"1,340"
6227,茂綸,20250610,934000,88455000,94.30,95.70,94.00,95.00,0.70,952
6227,茂綸,20250611,5052000,508006000,97.00,103.00,97.00,100.00,5.00,"4,660"
6227,茂綸,20250612,3907000,400262000,100.50,106.00,98.50,102.50,2.50,"3,191"
6227,茂綸,20250613,2848000,281409000,101.50,101.50,97.30,97.30,-5.20,"3,074"
6227,茂綸,20250616,1264000,122951000,97.10,99.30,95.60,98.60,1.30,"1,333"
6227,茂綸,20250617,1272000,125203000,99.50,99.90,97.20,97.40,-1.20,"1,912"
6227,茂綸,20250618,761000,73795000,96.70,97.90,96.30,96.90,-0.50,717
6227,茂綸,20250619,1288000,122469000,96.90,97.50,94.00,94.00,-2.90,"1,216"
6227,茂綸,20250620,894000,84007000,94.50,95.30,92.70,93.70,-0.30,820
