股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6423,億而得-創,20250602,41102,3875556,94.30,94.80,93.60,93.60,-2.40,34
6423,億而得-創,20250603,17710,1648469,93.20,93.30,92.70,92.70,-0.90,37
6423,億而得-創,20250604,33615,3102600,92.50,93.20,91.50,93.20,+0.50,34
6423,億而得-創,20250605,9087,847384,93.30,93.50,93.30,93.30,+0.10,30
6423,億而得-創,20250606,27857,2576594,93.10,93.10,91.50,91.50,-1.80,55
6423,億而得-創,20250609,15300,1400857,91.50,92.00,91.00,91.90,+0.40,38
6423,億而得-創,20250610,18088,1673674,92.30,93.00,92.20,92.20,+0.30,26
6423,億而得-創,20250611,51247,4634677,92.30,92.30,89.80,89.80,-2.40,75
6423,億而得-創,20250612,47748,4177523,88.00,88.00,86.60,87.40,X0.00,58
6423,億而得-創,20250613,15302,1334700,87.30,88.00,86.80,87.80,+0.40,20
6423,億而得-創,20250616,30432,2727276,89.00,90.50,88.50,90.50,+2.70,32
6423,億而得-創,20250617,34192,3162851,92.50,93.00,92.10,92.80,+2.30,34
6423,億而得-創,20250618,31122,2903988,92.00,94.00,92.00,93.80,+1.00,33
6423,億而得-創,20250619,19048,1781773,93.70,93.70,92.50,92.50,-1.30,17
6423,億而得-創,20250620,21123,1963397,94.00,94.00,92.50,92.50, 0.00,28
