股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6442,光聖,20250602,3760946,1623549505,451.00,453.00,417.00,418.50,-44.50,"8,133"
6442,光聖,20250603,2487082,1042750880,427.00,430.00,412.50,416.00,-2.50,"2,989"
6442,光聖,20250604,3131987,1363061097,420.00,445.50,420.00,439.00,+23.00,"3,545"
6442,光聖,20250605,3439989,1552251594,445.00,460.00,440.50,460.00,+21.00,"3,916"
6442,光聖,20250606,7407806,3541320793,454.00,495.00,454.00,480.50,+20.50,"8,191"
6442,光聖,20250609,6724029,3363629424,495.00,507.00,491.00,501.00,+20.50,"7,278"
6442,光聖,20250610,3811723,1873558033,492.00,500.00,480.50,490.50,-10.50,"5,151"
6442,光聖,20250611,4202803,2083237818,495.00,504.00,490.50,491.00,+0.50,"11,494"
6442,光聖,20250612,2491289,1224816823,491.00,499.00,487.00,488.50,-2.50,"4,577"
6442,光聖,20250613,2479715,1180095020,485.00,485.00,470.00,471.50,-17.00,"3,596"
6442,光聖,20250616,5747577,2822977047,473.50,504.00,473.50,490.00,+18.50,"6,181"
6442,光聖,20250617,3316966,1627338795,495.00,501.00,482.50,483.00,-7.00,"3,812"
6442,光聖,20250618,1727789,832990585,480.00,488.00,478.00,478.00,-5.00,"2,305"
6442,光聖,20250619,3583855,1729174274,482.00,495.00,473.50,477.50,-0.50,"4,013"
6442,光聖,20250620,3922898,1806593233,474.00,475.00,453.00,454.50,-23.00,"4,639"
