股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6446,藥華藥,20250602,2081779,1048936689,500.00,512.00,496.50,509.00,+9.00,"2,677"
6446,藥華藥,20250603,2893052,1497078591,507.00,523.00,506.00,515.00,+6.00,"3,466"
6446,藥華藥,20250604,1420815,737875063,520.00,522.00,516.00,521.00,+6.00,"1,860"
6446,藥華藥,20250605,1966563,1039454103,524.00,535.00,520.00,529.00,+8.00,"2,952"
6446,藥華藥,20250606,3224292,1651904110,522.00,524.00,505.00,508.00,-21.00,"5,530"
6446,藥華藥,20250609,3869777,2065707909,513.00,547.00,512.00,546.00,+38.00,"6,141"
6446,藥華藥,20250610,3653912,2004140579,551.00,559.00,541.00,543.00,-3.00,"5,033"
6446,藥華藥,20250611,2284162,1259304785,550.00,557.00,545.00,552.00,+9.00,"2,964"
6446,藥華藥,20250612,1721087,949851844,554.00,559.00,546.00,546.00,-6.00,"2,770"
6446,藥華藥,20250613,2064840,1120159124,546.00,553.00,532.00,538.00,-8.00,"3,564"
6446,藥華藥,20250616,1475225,780484382,536.00,538.00,524.00,527.00,-11.00,"2,519"
6446,藥華藥,20250617,1186837,625932421,531.00,534.00,524.00,527.00, 0.00,"1,794"
6446,藥華藥,20250618,1739444,925593011,532.00,536.00,527.00,532.00,+5.00,"1,974"
6446,藥華藥,20250619,1732288,914429026,533.00,534.00,523.00,526.00,-6.00,"2,242"
6446,藥華藥,20250620,1861763,971846829,528.00,530.00,517.00,521.00,-5.00,"2,392"
