股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6464,台數科,20250602,30238,2441104,80.90,81.00,80.20,80.80,+0.30,33
6464,台數科,20250603,12010,966801,80.40,80.60,80.40,80.50,-0.30,13
6464,台數科,20250604,9195,741369,80.50,80.80,80.20,80.20,-0.30,13
6464,台數科,20250605,10171,818655,80.50,80.50,80.50,80.50,+0.30,10
6464,台數科,20250606,10484,840464,80.90,80.90,79.80,80.40,-0.10,16
6464,台數科,20250609,21005,1688002,80.10,80.40,80.10,80.30,-0.10,17
6464,台數科,20250610,20270,1635460,80.30,81.00,80.30,80.70,+0.40,24
6464,台數科,20250611,10000,805500,80.70,80.70,80.30,80.50,-0.20,9
6464,台數科,20250612,4054,327245,80.50,80.90,80.50,80.80,+0.30,8
6464,台數科,20250613,26000,2087600,80.30,80.60,80.20,80.20,-0.60,23
6464,台數科,20250616,16291,1311780,80.20,80.80,80.00,80.80,+0.60,23
6464,台數科,20250617,23000,1856600,80.30,80.80,80.30,80.80, 0.00,10
6464,台數科,20250618,16246,1312092,80.50,80.90,80.50,80.70,-0.10,19
6464,台數科,20250619,25001,2010380,80.20,80.80,80.10,80.50,-0.20,25
6464,台數科,20250620,12321,993735,80.50,80.90,80.50,80.60,+0.10,35
