股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6508,惠光,20250602,14000,394000,28.70,28.70,28.50,28.50,-0.30,31
6508,惠光,20250603,14000,408000,28.50,28.65,28.50,28.60,0.10,19
6508,惠光,20250604,32000,916000,28.60,28.65,28.30,28.65,0.05,57
6508,惠光,20250605,16000,463000,28.35,28.60,28.25,28.45,-0.20,34
6508,惠光,20250606,14000,390000,28.45,28.50,28.30,28.40,-0.05,36
6508,惠光,20250609,7000,190000,28.20,28.20,28.20,28.20,-0.20,33
6508,惠光,20250610,101000,2858000,28.10,28.50,27.90,28.50,0.30,96
6508,惠光,20250611,26000,740000,28.15,28.20,28.10,28.20,-0.30,47
6508,惠光,20250612,7000,199000,27.95,28.20,27.95,28.20,0.00,36
6508,惠光,20250613,18000,509000,28.40,28.40,28.10,28.20,0.00,36
6508,惠光,20250616,10000,274000,28.15,28.35,28.15,28.20,0.00,39
6508,惠光,20250617,37000,1039000,27.95,28.15,27.80,27.80,-0.40,73
6508,惠光,20250618,29000,818000,27.85,28.10,27.60,27.80,0.00,65
6508,惠光,20250619,44000,1227000,27.75,27.75,27.60,27.75,-0.05,58
6508,惠光,20250620,45000,1253000,27.75,27.75,27.40,27.70,-0.05,60
