股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6666,羅麗芬-KY,20250602,4015,164643,41.00,41.00,41.00,41.00,-1.00,8
6666,羅麗芬-KY,20250603,27855,1128546,40.70,40.90,40.20,40.20,-0.80,37
6666,羅麗芬-KY,20250604,9171,372980,40.30,41.50,40.30,40.85,+0.65,13
6666,羅麗芬-KY,20250605,18112,730228,40.40,40.85,39.65,40.80,-0.05,22
6666,羅麗芬-KY,20250606,7158,295472,40.80,41.85,40.60,40.60,-0.20,13
6666,羅麗芬-KY,20250609,1062,42851,40.30,40.30,40.30,40.30,-0.30,6
6666,羅麗芬-KY,20250610,12119,500995,41.50,41.60,40.95,40.95,+0.65,18
6666,羅麗芬-KY,20250611,11176,468592,41.85,42.30,41.80,41.85,+0.90,16
6666,羅麗芬-KY,20250612,8004,342117,42.75,42.90,42.65,42.70,+0.85,11
6666,羅麗芬-KY,20250613,16292,680728,42.15,42.15,41.40,41.40,-1.30,19
6666,羅麗芬-KY,20250616,2000,84550,42.30,42.30,42.25,42.25,+0.85,2
6666,羅麗芬-KY,20250617,11000,460650,42.00,42.00,41.80,41.90,-0.35,11
6666,羅麗芬-KY,20250618,9050,379195,41.90,41.90,41.90,41.90, 0.00,10
6666,羅麗芬-KY,20250619,18118,755987,41.75,41.90,41.25,41.25,-0.65,21
6666,羅麗芬-KY,20250620,11054,448811,41.00,41.00,40.30,40.45,-0.80,13
