股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6674,鋐寶科技,20250602,286142,6674063,22.60,23.70,22.55,23.70,+2.15,188
6674,鋐寶科技,20250603,2051365,51995034,25.25,26.05,24.10,24.10,+0.40,"1,146"
6674,鋐寶科技,20250604,567908,13575103,24.60,24.80,23.00,23.90,-0.20,432
6674,鋐寶科技,20250605,654416,16832520,24.20,26.25,24.00,26.25,+2.35,383
6674,鋐寶科技,20250606,2974149,82721532,27.60,28.85,26.55,26.60,+0.35,"1,827"
6674,鋐寶科技,20250609,535409,13900811,26.45,26.50,25.45,26.40,-0.20,443
6674,鋐寶科技,20250610,797271,20627683,26.00,26.90,24.90,26.35,-0.05,590
6674,鋐寶科技,20250611,250967,6453755,26.35,26.40,25.30,25.50,-0.85,216
6674,鋐寶科技,20250612,1606293,44296948,25.30,28.05,25.30,28.05,+2.55,"1,055"
6674,鋐寶科技,20250613,2374264,68000920,28.90,29.90,27.20,27.50,-0.55,"1,794"
6674,鋐寶科技,20250616,429258,11628888,27.05,27.65,26.50,27.35,-0.15,344
6674,鋐寶科技,20250617,359689,9769011,27.60,28.25,26.65,26.85,-0.50,277
6674,鋐寶科技,20250618,573920,15511444,26.85,27.70,26.45,26.50,-0.35,356
6674,鋐寶科技,20250619,194660,5006544,26.50,26.50,25.30,25.45,-1.05,159
6674,鋐寶科技,20250620,464529,12272264,25.40,27.45,24.55,27.00,+1.55,397
