股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6742,澤米,20250602,444140,22198073,51.20,51.20,49.50,50.00,-2.50,464
6742,澤米,20250603,2510962,136671170,49.90,55.00,49.90,55.00,+5.00,"3,175"
6742,澤米,20250604,6262983,350778783,57.50,58.00,54.80,55.00, 0.00,"4,284"
6742,澤米,20250605,781834,42759502,54.50,55.40,54.10,54.40,-0.60,648
6742,澤米,20250606,600329,31987078,54.20,54.60,52.40,52.40,-2.00,668
6742,澤米,20250609,367059,19158371,52.90,53.10,51.80,52.00,-0.40,371
6742,澤米,20250610,494524,26017922,52.30,53.90,51.70,51.70,-0.30,459
6742,澤米,20250611,567579,29818466,52.10,53.10,52.10,52.60,+0.90,371
6742,澤米,20250612,1047285,56237175,52.60,55.10,52.00,52.60, 0.00,851
6742,澤米,20250613,656812,33703669,52.70,52.70,50.70,51.10,-1.50,589
6742,澤米,20250616,627973,32635732,51.60,53.00,50.20,52.10,+1.00,515
6742,澤米,20250617,1271947,68372347,52.70,55.00,52.50,53.10,+1.00,"1,050"
6742,澤米,20250618,2741222,150131659,52.80,56.40,52.80,54.00,+0.90,"2,096"
6742,澤米,20250619,782904,41813226,54.10,54.60,52.70,52.90,-1.10,706
6742,澤米,20250620,736278,39035219,53.50,54.40,51.60,52.70,-0.20,662
