股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6803,崑鼎,20250602,52000,15408000,295.00,296.00,294.00,295.00,-1.50,345
6803,崑鼎,20250603,44000,12973000,297.00,299.00,296.00,297.50,2.50,148
6803,崑鼎,20250604,30000,8978000,298.00,299.00,297.00,298.00,0.50,124
6803,崑鼎,20250605,20000,5846000,299.00,299.00,297.00,297.00,-1.00,130
6803,崑鼎,20250606,79000,23307000,296.00,297.50,294.50,296.50,-0.50,378
6803,崑鼎,20250609,40000,11752000,296.00,296.50,295.00,296.00,-0.50,249
6803,崑鼎,20250610,49000,14632000,296.00,298.50,296.00,298.00,2.00,210
6803,崑鼎,20250611,51000,15046000,297.00,298.50,297.00,298.00,0.00,183
6803,崑鼎,20250612,30000,8843000,297.50,298.50,297.50,298.00,0.00,167
6803,崑鼎,20250613,43000,12668000,298.00,299.00,296.50,297.00,-1.00,219
6803,崑鼎,20250616,52000,15596000,296.50,298.50,296.50,298.00,1.00,193
6803,崑鼎,20250617,42000,12508000,298.00,299.00,297.50,298.50,0.50,169
6803,崑鼎,20250618,23000,6822000,298.00,298.50,298.00,298.50,0.00,152
6803,崑鼎,20250619,53000,15921000,299.00,299.00,297.50,299.00,0.50,163
6803,崑鼎,20250620,71000,21186000,298.00,298.50,296.00,297.50,-1.50,270
