股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6806,森崴能源,20250602,807789,70759879,89.30,89.30,86.80,87.50,-1.70,924
6806,森崴能源,20250603,974832,87043287,88.20,90.40,88.20,89.00,+1.50,"1,002"
6806,森崴能源,20250604,2060580,188180846,90.10,92.20,89.70,91.60,+2.60,"2,591"
6806,森崴能源,20250605,1691195,155196492,92.00,93.40,90.50,90.70,-0.90,"4,268"
6806,森崴能源,20250606,939394,85110702,91.40,92.00,89.70,89.70,-1.00,"1,060"
6806,森崴能源,20250609,1307059,119146400,90.70,92.00,89.70,91.50,+1.80,"1,583"
6806,森崴能源,20250610,908069,83176687,92.00,92.30,90.50,91.90,+0.40,"1,866"
6806,森崴能源,20250611,3848101,328987349,88.20,88.20,84.50,85.20,-6.70,"4,954"
6806,森崴能源,20250612,1158611,99136307,85.20,86.30,85.00,85.40,+0.20,"1,316"
6806,森崴能源,20250613,1683697,141593147,85.40,85.40,83.20,83.30,-2.10,"1,902"
6806,森崴能源,20250616,1291739,110164810,83.30,86.20,82.80,85.60,+2.30,"1,199"
6806,森崴能源,20250617,2069961,180052990,86.30,88.40,86.00,86.30,+0.70,"1,796"
6806,森崴能源,20250618,1015027,87622613,86.10,87.20,85.70,85.90,-0.40,"1,062"
6806,森崴能源,20250619,2293167,190372349,85.50,85.70,81.50,81.80,-4.10,"2,624"
6806,森崴能源,20250620,2029119,166286889,81.80,83.00,80.60,81.90,+0.10,"1,366"
