股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6830,汎銓,20250602,161929,19120119,121.00,121.00,117.00,117.00,-4.50,217
6830,汎銓,20250603,108217,12786032,117.00,119.00,117.00,118.00,+1.00,121
6830,汎銓,20250604,224969,27247059,121.00,123.50,119.50,119.50,+1.50,219
6830,汎銓,20250605,124635,15095596,120.00,123.00,119.50,121.00,+1.50,119
6830,汎銓,20250606,80049,9688054,121.50,121.50,120.00,121.00, 0.00,101
6830,汎銓,20250609,186303,22992770,122.50,125.00,121.00,125.00,+4.00,198
6830,汎銓,20250610,181136,22821598,125.00,127.00,124.50,126.00,+1.00,227
6830,汎銓,20250611,165111,20967182,127.00,128.50,125.50,126.50,+0.50,308
6830,汎銓,20250612,139612,17678145,127.50,127.50,125.00,127.50,+1.00,156
6830,汎銓,20250613,221156,27274096,126.50,126.50,122.00,122.00,-5.50,252
6830,汎銓,20250616,220601,26684469,123.50,123.50,119.50,123.50,+1.50,223
6830,汎銓,20250617,158940,19816254,125.50,126.50,123.50,123.50, 0.00,143
6830,汎銓,20250618,245949,31092769,123.50,127.50,123.50,127.00,+3.50,250
6830,汎銓,20250619,134714,16871050,127.00,127.00,123.50,123.50,-3.50,390
6830,汎銓,20250620,128942,15881242,126.00,126.00,121.00,122.00,-1.50,283
