股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6834,天二科技,20250602,514125,17414065,35.05,35.05,33.60,33.90,-1.30,388
6834,天二科技,20250603,314746,10739084,34.15,34.65,33.50,34.60,+0.70,253
6834,天二科技,20250604,1197039,42641985,35.00,36.30,34.50,35.55,+0.95,826
6834,天二科技,20250605,458115,16127045,35.50,35.75,34.65,34.90,-0.65,381
6834,天二科技,20250606,306240,10666646,35.20,35.45,34.55,34.55,-0.35,250
6834,天二科技,20250609,850553,28098136,33.70,33.70,32.60,32.65,-1.90,715
6834,天二科技,20250610,383750,12521336,33.40,33.40,32.25,32.30,-0.35,278
6834,天二科技,20250611,359561,11581374,32.15,32.60,31.80,32.20,-0.10,269
6834,天二科技,20250612,348936,11211554,32.20,32.70,31.90,32.25,+0.05,268
6834,天二科技,20250613,335007,10647978,31.80,32.35,31.35,31.85,X0.00,317
6834,天二科技,20250616,213853,6727874,32.50,32.50,31.10,31.10,-0.75,189
6834,天二科技,20250617,191920,6047968,31.35,31.95,31.15,31.20,+0.10,141
6834,天二科技,20250618,163500,5099404,31.20,31.60,30.95,30.95,-0.25,151
6834,天二科技,20250619,262125,7969410,30.65,30.75,30.20,30.20,-0.75,194
6834,天二科技,20250620,159810,4825305,30.35,30.75,29.70,30.25,+0.05,145
