股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6869,雲豹能源,20250602,1186486,188929540,162.50,162.50,157.00,158.50,-4.50,"1,358"
6869,雲豹能源,20250603,1372553,224790292,160.00,168.00,160.00,167.00,+8.50,"2,000"
6869,雲豹能源,20250604,2233178,373498214,168.50,169.50,163.00,168.50,+1.50,"2,161"
6869,雲豹能源,20250605,1688993,283756595,168.50,172.00,165.50,166.00,-2.50,"1,654"
6869,雲豹能源,20250606,946137,156443441,166.50,168.50,163.50,163.50,-2.50,"1,025"
6869,雲豹能源,20250609,3054063,518643995,165.00,173.00,164.50,171.00,+7.50,"2,879"
6869,雲豹能源,20250610,3311479,570887459,170.00,175.50,169.00,172.50,+1.50,"4,463"
6869,雲豹能源,20250611,2316938,397946727,174.00,175.00,169.00,170.50,-2.00,"3,459"
6869,雲豹能源,20250612,1557244,266492685,171.00,173.00,169.00,170.50, 0.00,"1,413"
6869,雲豹能源,20250613,1950135,334470928,170.50,174.50,169.50,169.50,-1.00,"2,107"
6869,雲豹能源,20250616,1639399,280388774,170.00,174.00,169.00,170.00,+0.50,"1,978"
6869,雲豹能源,20250617,2405766,414318765,170.50,175.00,170.00,170.00, 0.00,"2,081"
6869,雲豹能源,20250618,1670065,287968248,171.00,174.00,171.00,172.00,+2.00,"1,599"
6869,雲豹能源,20250619,2417261,405258541,173.00,173.50,164.50,164.50,-7.50,"5,450"
6869,雲豹能源,20250620,4725833,807472418,164.00,174.00,162.50,173.00,+8.50,"5,483"
