股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6906,現觀科,20250602,335101,47463785,141.00,144.00,137.50,143.00,+5.00,"1,169"
6906,現觀科,20250603,169525,23855143,144.00,144.00,138.00,140.50,-2.50,741
6906,現觀科,20250604,139105,19685601,141.00,144.00,140.00,140.00,-0.50,223
6906,現觀科,20250605,119375,16523996,141.50,141.50,137.50,138.00,-2.00,292
6906,現觀科,20250606,132353,18362391,138.50,142.00,137.00,137.00,-1.00,148
6906,現觀科,20250609,284491,40372987,139.00,143.50,139.00,143.00,+6.00,297
6906,現觀科,20250610,174283,24326123,142.00,142.00,138.50,139.50,-3.50,234
6906,現觀科,20250611,79556,10996630,139.50,139.50,138.00,138.00,-1.50,140
6906,現觀科,20250612,66727,9149198,138.00,138.50,136.50,137.00,-1.00,112
6906,現觀科,20250613,145783,19549836,137.00,137.00,132.50,132.50,-4.50,229
6906,現觀科,20250616,94911,12309950,131.00,131.00,128.50,130.00,-2.50,149
6906,現觀科,20250617,66979,8757030,130.00,132.50,129.50,129.50,-0.50,105
6906,現觀科,20250618,61694,7967984,127.50,131.00,127.50,129.50, 0.00,95
6906,現觀科,20250619,86373,11252597,129.00,132.00,128.00,130.50,+1.00,127
6906,現觀科,20250620,53116,6824249,130.00,130.00,127.00,128.00,-2.50,268
