股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6933,AMAX-KY,20250602,80718,10889319,140.50,140.50,132.50,133.50,-4.50,151
6933,AMAX-KY,20250603,62880,8463734,137.00,137.50,132.50,133.00,-0.50,143
6933,AMAX-KY,20250604,63241,8661008,136.50,138.00,134.00,137.50,+4.50,96
6933,AMAX-KY,20250605,62433,8697008,140.00,141.00,137.50,138.50,+1.00,98
6933,AMAX-KY,20250606,143911,20236675,142.50,146.00,136.50,136.50,-2.00,182
6933,AMAX-KY,20250609,82165,11221756,139.00,139.00,135.50,136.50, 0.00,107
6933,AMAX-KY,20250610,159098,22687677,140.00,145.00,136.50,143.50,+7.00,217
6933,AMAX-KY,20250611,190797,26148483,140.00,140.00,132.50,137.00,-6.50,340
6933,AMAX-KY,20250612,87907,12282933,139.50,142.00,137.00,139.50,+2.50,150
6933,AMAX-KY,20250613,72837,9914624,139.50,139.50,134.00,134.50,-5.00,143
6933,AMAX-KY,20250616,53255,7087273,133.50,134.00,130.00,133.00,-1.50,96
6933,AMAX-KY,20250617,72040,9847023,137.50,139.00,133.50,135.50,+2.50,119
6933,AMAX-KY,20250618,34443,4652975,134.00,136.50,134.00,134.50,-1.00,57
6933,AMAX-KY,20250619,85463,11150629,131.00,132.50,129.50,130.00,-4.50,180
6933,AMAX-KY,20250620,161220,20428212,128.50,130.00,124.50,128.00,-2.00,222
