股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
6937,天虹,20250602,298009,52822826,183.00,183.00,173.50,178.50,-6.50,497
6937,天虹,20250603,97149,17365014,176.50,180.50,176.50,177.00,-1.50,178
6937,天虹,20250604,732513,139843613,180.00,194.50,180.00,194.50,+17.50,"1,231"
6937,天虹,20250605,1050289,204429185,200.00,201.00,187.00,187.50,-7.00,"1,658"
6937,天虹,20250606,286653,53342976,187.50,190.50,183.50,183.50,-4.00,429
6937,天虹,20250609,450614,83980311,190.50,191.50,183.00,187.00,+3.50,491
6937,天虹,20250610,283435,53908269,189.00,192.50,186.50,188.50,+1.50,407
6937,天虹,20250611,669132,130785365,189.50,199.50,189.00,196.00,+7.50,"1,381"
6937,天虹,20250612,988968,199400836,196.50,208.00,193.00,207.00,+11.00,"1,159"
6937,天虹,20250613,674222,136237612,204.50,208.00,198.00,199.50,-7.50,"1,646"
6937,天虹,20250616,311265,62207594,199.00,202.50,196.00,202.50,+3.00,409
6937,天虹,20250617,600726,122864034,204.50,207.00,201.50,205.00,+2.50,947
6937,天虹,20250618,386323,78392509,205.00,207.00,201.00,202.00,-3.00,536
6937,天虹,20250619,264756,52470934,202.00,203.00,196.00,197.00,-5.00,407
6937,天虹,20250620,175408,34263892,197.00,198.00,192.50,196.00,-1.00,302
