股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8070,長華*,20250602,12181553,579673430,48.30,48.60,46.30,46.40,-1.90,"7,648"
8070,長華*,20250603,13481405,599214560,46.50,47.00,43.50,43.50,-2.90,"9,165"
8070,長華*,20250604,11153907,486234643,43.65,44.15,43.20,43.40,-0.10,"6,970"
8070,長華*,20250605,8372396,364056466,43.55,44.15,43.10,43.15,-0.25,"4,702"
8070,長華*,20250606,6866618,298032816,43.30,43.80,42.85,43.20,+0.05,"4,230"
8070,長華*,20250609,10191354,429777656,43.50,43.55,41.40,41.80,-1.40,"6,055"
8070,長華*,20250610,7885009,334511136,42.00,42.95,41.45,42.10,+0.30,"4,448"
8070,長華*,20250611,8744016,369424525,42.40,42.95,41.75,42.05,-0.05,"4,885"
8070,長華*,20250612,8948838,374120605,41.90,42.35,41.40,41.50,-0.55,"5,083"
8070,長華*,20250613,3814550,156000780,41.55,41.75,40.55,40.55,-0.95,"3,103"
8070,長華*,20250616,2630243,107567055,40.40,41.35,40.25,41.20,+0.65,"1,556"
8070,長華*,20250617,8660648,368886598,41.35,43.20,41.05,43.20,+2.00,"5,003"
8070,長華*,20250618,6872202,291996083,43.25,43.25,41.80,42.35,-0.85,"4,436"
8070,長華*,20250619,3205631,128691640,40.30,40.85,39.75,39.75,X0.00,"2,339"
8070,長華*,20250620,2925481,113938934,39.80,40.05,38.70,38.70,-1.05,"1,871"
