股票代號,股票名稱,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
8112A,至上甲特,20250602,6281,275623,43.95,43.95,43.85,43.90,-0.10,7
8112A,至上甲特,20250603,11857,520160,43.85,43.90,43.85,43.90, 0.00,12
8112A,至上甲特,20250604,9000,395350,43.95,43.95,43.90,43.90, 0.00,5
8112A,至上甲特,20250605,2002,88088,44.00,44.00,44.00,44.00,+0.10,3
8112A,至上甲特,20250606,13056,573255,43.95,43.95,43.90,43.90,-0.10,5
8112A,至上甲特,20250609,7405,323948,43.80,43.85,43.80,43.80,-0.10,13
8112A,至上甲特,20250610,44635,1963198,43.90,44.00,43.90,44.00,+0.20,33
8112A,至上甲特,20250611,33403,1472011,44.00,44.10,44.00,44.10,+0.10,17
8112A,至上甲特,20250612,63000,2778050,44.00,44.15,44.00,44.10, 0.00,12
8112A,至上甲特,20250613,37056,1634114,44.10,44.10,44.05,44.10, 0.00,12
8112A,至上甲特,20250616,29542,1302612,44.00,44.10,44.00,44.10, 0.00,13
8112A,至上甲特,20250617,14559,642078,44.15,44.15,44.10,44.10, 0.00,12
8112A,至上甲特,20250618,19499,858983,44.10,44.10,43.80,43.80,-0.30,14
8112A,至上甲特,20250619,30408,1337746,44.00,44.00,44.00,44.00,+0.20,23
8112A,至上甲特,20250620,45121,1989674,44.10,44.10,44.00,44.10,+0.10,14
